"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean_X";"AC_mean_Z1";"AC_mean_Z2";"AC_mean_Y";"AC_var_X";"AC_var_Z1";"AC_var_Z2";"AC_var_Y"
84;-0,0771627635929996;0,760520756882094;1;1,01547300372689;1,01617514495113;-0,0735515640715725;0,014818895814536;0,00143543225846704;-0,0869105634975977;0,00812492646665984;-0,0651876635563969;-0,0255741379821088;-0,0404486834925904
85;-0,0898429977192115;1,07352986104712;1;1,01623311358324;1,01643808082816;-0,0753323557566902;0,00964164189641867;-0,00787617416988146;-0,0557282825409286;0,00905010484731258;-0,0649677952487966;-0,0647287838092127;-0,0366248752184031
86;-0,113222916832779;0,909085086220268;0,9;1,01544472268494;1,01633138616681;-0,0783807592550865;0,0115227381397879;-0,0100184931900902;-0,0870181140464043;0,0345401691935828;-0,0368035797714144;-0,0617641128444119;-0,00372505021248132
87;-0,0270801638144965;1,1731135744196;1;1,01526514123707;1,01680240081916;-0,0750736326579646;0,0304495379638533;-0,00768100256963508;-0,0531342071702081;0,0595088831701025;-0,0342936460210595;-0,0576008975054324;-0,00513872615282142
88;-0,0388205700606458;0,943791881192549;1;1,01403391074508;1,01636188778062;-0,0729440013806081;0,0350100666272844;-0,00435097928194174;-0,0550663811756097;0,060426711723117;-0,0267465194814309;-0,0220262141807816;-0,0058649828080882
89;-0,0646261289905462;0,976899840422578;1;1,01407611005459;1,01644272814514;-0,0729404007876872;0,0340684295070441;-0,00322829119713108;-0,0536879752585818;0,0620628627528246;-0,0255387695477106;-0,0226762892193021;-0,0106177992657665
90;-0,062343223581753;1,02244183117513;1;1,01426795326349;1,01573462115161;-0,0754872688572531;0,0300882409851873;-0,0038322139531898;-0,054952053999079;0,0636463684613752;-0,0287536441040166;-0,0289004905735028;-0,0118052553200404
91;-0,0714689230209726;0,998889245257154;1;1,01474795184295;1,01565203862043;-0,0205618962834318;0,0334421861505724;-0,00206016792341231;-0,0543408901337749;0,0655320669757964;-0,0258223790347526;-0,035222091416241;-0,0201657023880659
92;-0,031905945147453;0,753845842434887;0,9;1,01465533504781;1,01438585168799;-0,0790799941482697;0,0513283672327579;-0,00392776759191316;-0,05104991856165;0,0630481341515009;-0,0284830260480438;-0,0330406436000729;0,000886408068043989
93;-0,105836948666758;0,981539699827324;1;1,01457834390159;1,01437668271791;-0,0730463520631585;0,052834305114221;-0,00167654319796985;-0,0888176660288881;0,0661747725057753;-0,026904570193603;-0,033499514545913;0,00282312976907516
94;-0,107807450383314;1,09705046179418;0,9;1,01448419860887;1,01365270734404;-0,0778996030565773;0,0534910326542555;-0,00287634013623845;-0,0897699291747499;0,0269087409321094;-0,0419034131604945;-0,030874093891731;0,0388681535306208
95;-0,106360540090157;0,956292101001928;0,9;1,01434669298133;1,01312315296215;-0,0815150793432289;0,0522121608002583;-0,00529309614019507;-0,0884709314641813;0,00775355252767835;-0,0403793596476532;-0,0349972098139758;-0,00460161070766328
96;-0,068780966240047;0,967993591123046;1;1,01337348129766;1,01274982456582;-0,078464298214442;0,0486346420268036;-0,00640594245568514;-0,0533299783009012;0,00917485239709349;-0,0423345826433179;-0,0337621613792117;-0,0602149940896736
97;-0,0872525407269065;0,942843787733552;1;1,01306701140812;1,01327154203228;-0,0755416891198691;0,0517026312206356;-0,0070149913433621;-0,0901474619350766;0,00767455969450903;-0,0431072485719644;-0,0302801040534802;-0,0366090741187816
98;-0,0917676908808439;0,752076992679646;0,8;1,01284066162459;1,01310181715927;-0,0740289914507397;0,0675041162800303;-0,000911799296760909;-0,0532053347572594;0,00867923568857327;-0,0461811331715014;-0,0282759112050076;-0,0370414808681198
99;-0,0695291754038661;0,880272203000653;1;1,01254509524234;1,01248365475963;-0,0452607389561226;0,0735255518182096;-0,00169856957272127;-0,0535858447127155;0,0202413648979768;-0,0432797498178317;-0,0263449573123261;-0,012508813447285
100;-0,0510075811083182;0,760693700816216;1;1,01190836202511;1,01227134291563;-0,0416885361323142;0,0779567719714328;0,00044986708329906;-0,0549803334660283;0,0117164779305846;-0,0425694300277859;-0,00826523269594059;-0,0344888924604909
